x,y
-64.372753,0.784307
-63.771561,0.784307
-63.170368,0.784307
-62.969970,0.784307
-63.571163,0.784307
-63.370766,0.784307
-60.965995,0.784307
-58.561225,0.784307
-58.360827,0.784307
-58.962020,0.784307
-58.761622,0.784307
-58.160429,0.784307
-57.559237,0.784307
-57.358839,0.784307
-57.960032,0.784307
-57.759634,0.784307
-60.364802,0.784307
-60.164405,0.784307
-60.765597,0.784307
-60.565200,0.784307
-59.964007,0.784307
-59.362815,0.784307
-59.162417,0.784307
-59.763610,0.784307
-59.563212,0.784307
-98.623703,4.712827
-98.461119,4.595671
-98.948872,4.947140
-98.786288,4.829984
-98.298535,4.478515
-97.810782,4.127047
-97.648198,4.009891
-98.135951,4.361359
-97.973367,4.244203
-100.086962,5.767232
-99.924377,5.650076
-100.412130,6.001544
-100.249546,5.884388
-99.761793,5.532920
-99.274040,5.181452
-99.111456,5.064296
-99.599209,5.415764
-99.436625,5.298608
-97.485614,3.892735
-95.534603,2.486862
-95.372019,2.369706
-95.859772,2.721174
-95.697187,2.604018
-95.209435,2.252550
-94.721682,1.901082
-94.559098,1.783926
-95.046850,2.135394
-94.884266,2.018238
-96.997861,3.541267
-96.835277,3.424111
-97.323030,3.775579
-97.160445,3.658423
-96.672693,3.306955
-96.184940,2.955486
-96.022356,2.838330
-96.510109,3.189799
-96.347524,3.072642
-100.574714,6.118700
-104.801904,9.164758
-104.639320,9.047602
-105.127073,9.399070
-104.964488,9.281914
-104.476736,8.930446
-103.988983,8.578978
-103.826399,8.461822
-104.314151,8.813290
-104.151567,8.696134
-106.318216,10.127145
-106.130985,10.055884
-106.707690,10.219561
-106.510939,10.181842
-105.950664,9.968602
-105.452241,9.633382
-105.289657,9.516226
-105.778623,9.865959
-105.614825,9.750538
-103.663814,8.344666
-101.712804,6.938793
-101.550220,6.821637
-102.037972,7.173105
-101.875388,7.055949
-101.387635,6.704481
-100.899883,6.353012
-100.737298,6.235856
-101.225051,6.587325
-101.062467,6.470168
-103.176062,7.993197
-103.013478,7.876041
-103.501230,8.227510
-103.338646,8.110353
-102.850893,7.758885
-102.363141,7.407417
-102.200556,7.290261
-102.688309,7.641729
-102.525725,7.524573
-84.813303,0.784307
-84.612905,0.784307
-85.214098,0.784307
-85.013700,0.784307
-84.412508,0.784307
-83.811315,0.784307
-83.610917,0.784307
-84.212110,0.784307
-84.011712,0.784307
-86.616880,0.784307
-86.416483,0.784307
-87.017676,0.784307
-86.817278,0.784307
-86.216085,0.784307
-85.614893,0.784307
-85.414495,0.784307
-86.015688,0.784307
-85.815290,0.784307
-83.410520,0.784307
-81.005749,0.784307
-80.805352,0.784307
-81.406544,0.784307
-81.206147,0.784307
-80.604954,0.784307
-80.003762,0.784307
-79.803364,0.784307
-80.404557,0.784307
-80.204159,0.784307
-82.809327,0.784307
-82.608930,0.784307
-83.210122,0.784307
-83.009725,0.784307
-82.408532,0.784307
-81.807339,0.784307
-81.606942,0.784307
-82.208135,0.784307
-82.007737,0.784307
-87.218073,0.784307
-92.428409,0.784307
-92.228012,0.784307
-92.827196,0.818948
-92.628557,0.792936
-92.027614,0.784307
-91.426422,0.784307
-91.226024,0.784307
-91.827217,0.784307
-91.626819,0.784307
-94.071345,1.432458
-93.908761,1.315301
-94.396514,1.666770
-94.233929,1.549614
-93.746027,1.198356
-93.213937,0.922204
-93.022817,0.862146
-93.576919,1.090949
-93.399106,0.998665
-91.025626,0.784307
-88.620856,0.784307
-88.420458,0.784307
-89.021651,0.784307
-88.821253,0.784307
-88.220061,0.784307
-87.618868,0.784307
-87.418471,0.784307
-88.019663,0.784307
-87.819266,0.784307
-90.424434,0.784307
-90.224036,0.784307
-90.825229,0.784307
-90.624831,0.784307
